X,Y,Z
-6.1715,-181.8238,-24.5596
-5.9762,-181.8423,-24.5596
-5.7712,-181.8423,-24.5596
-5.5858,-181.8423,-24.5596
-5.3905,-181.8423,-24.5596
-5.1855,-181.8238,-24.5596
-5.0001,-181.8238,-24.5596
-4.8048,-181.8052,-24.5596
-4.6096,-181.7681,-24.5596
-4.4241,-181.7495,-24.5596
-4.2289,-181.7124,-24.5596
-4.0434,-181.6938,-24.5596
-3.8482,-181.6567,-24.5596
-3.6627,-181.6381,-24.5596
-3.4675,-181.601,-24.5596
-3.282,-181.5824,-24.5596
-3.0868,-181.5268,-24.5596
-2.9013,-181.4896,-24.5596
-2.7159,-181.4525,-24.5596
-2.5304,-181.3968,-24.5596
-2.3351,-181.3597,-24.5596
-2.1497,-181.304,-24.5596
-1.9642,-181.2483,-24.5596
-1.7787,-181.1926,-24.5596
-1.5933,-181.1183,-24.5596
-1.4078,-181.0627,-24.5596
-1.2321,-181.007,-24.5596
-1.0466,-180.9327,-24.5596
-0.8709,-180.8584,-24.5596
-0.6952,-180.7842,-24.5596
-0.5195,-180.7099,-24.5596
-0.3438,-180.6171,-24.5596
-0.1778,-180.5429,-24.5596
-0.0119,-180.45,-24.5596
0.1541,-180.3572,-24.5595
0.3103,-180.2644,-24.5595
0.4762,-180.153,-24.4595
0.6226,-180.0416,-24.5595
0.7593,-179.9117,-24.4595
0.8862,-179.7817,-24.4595
1.0131,-179.6518,-24.4595
1.14,-179.5218,-24.4595
1.2767,-179.3919,-24.4595
1.4231,-179.2619,-24.4595
1.5597,-179.132,-24.4595
1.6964,-179.002,-24.4595
1.8331,-178.8721,-24.4595
1.9697,-178.7421,-24.4595
2.0966,-178.6122,-24.4595
2.2235,-178.4637,-24.4595
2.3407,-178.3337,-24.4595
2.4578,-178.1852,-24.4595
2.575,-178.0367,-24.4595
2.6921,-177.8882,-24.4595
2.7995,-177.7397,-24.4595
2.8971,-177.5726,-24.4595
3.0045,-177.4241,-24.4595
3.1021,-177.2756,-24.4595
3.1899,-177.1085,-24.4595
3.2876,-176.9414,-24.4595
3.3754,-176.7743,-24.4594
3.4633,-176.6073,-24.4594
3.5414,-176.4402,-24.4594
3.6195,-176.2731,-24.4594
3.6975,-176.106,-24.4594
3.7854,-175.939,-24.4594
3.8733,-175.7719,-24.4594
3.9513,-175.6048,-24.4594
4.0197,-175.4192,-24.4594
4.088,-175.2521,-24.3594
4.1563,-175.085,-24.3594
4.2149,-174.8994,-24.3594
4.2637,-174.7137,-24.3594
4.3223,-174.5466,-24.3594
4.3711,-174.361,-24.3594
4.4199,-174.1754,-24.3594
4.4687,-173.9897,-24.3594
4.5078,-173.8041,-24.3594
4.5468,-173.6184,-24.3594
4.5761,-173.4328,-24.3594
4.6054,-173.2472,-24.3594
4.6347,-173.0615,-24.3593
4.6542,-172.8759,-24.3593
4.6737,-172.6717,-24.3593
4.6932,-172.486,-24.3593
4.703,-172.3004,-24.3593
4.703,-172.1147,-24.3593
4.7127,-171.9291,-24.3593
4.7127,-171.7249,-24.3593
4.703,-171.5393,-24.3593
4.703,-171.3536,-24.3593
4.6835,-171.168,-24.3593
4.6737,-170.9823,-24.3593
4.6542,-170.7781,-24.3593
4.6347,-170.5925,-24.3593
4.6054,-170.4068,-24.3593
4.5761,-170.2212,-24.3593
4.537,-170.0356,-24.3593
4.5078,-169.8499,-24.3593
4.4589,-169.6643,-24.3593
4.4199,-169.4972,-24.3593
4.3711,-169.3116,-24.3592
4.3223,-169.1259,-24.3592
4.2832,-168.9403,-24.3592
4.2539,-168.7546,-24.3592
4.2442,-168.569,-24.3592
4.2344,-168.3648,-24.3592
4.2442,-168.1791,-24.3592
4.2637,-168.0121,-24.3592
4.293,-167.8264,-24.3592
4.3418,-167.6408,-24.3592
4.3906,-167.4737,-24.3592
4.4589,-167.3066,-24.3592
4.5273,-167.121,-24.3592
4.6151,-166.9539,-24.3592
4.7127,-166.8054,-24.3592
4.8104,-166.6383,-24.3592
4.9177,-166.5084,-24.3592
5.0446,-166.3599,-24.3592
